word_bits,batch,variant,a_group,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_radix4
64,16,grouped,8,9-11-2,4.138368,2,0.4688874938139866,1.258043388118215
64,16,grouped,16,10-9-3,4.235904,2,0.4580908821351948,1.2290756589384464
64,16,grouped,16,6-12-2,4.209433499999999,2,0.46097152977948225,1.2368045486405717
64,16,grouped,16,7-11-2,4.3798525,2,0.4430352392004068,1.188680783199891
64,16,grouped,16,8-10-2,3.3262845,2,0.5833623071027147,1.565183765850456
64,16,grouped,16,9-11-2,3.25312,2,0.5964824537674601,1.6003856297953967
64,16,grouped,32,10-9-3,3.743847,2,0.5182981569492556,1.3906141196475177
64,16,grouped,32,6-12-2,4.0565245,2,0.4783476594311214,1.2834253805197036
64,16,grouped,32,7-11-2,4.1595905,2,0.4664951994673514,1.2516247693132294
64,16,grouped,32,8-10-2,3.049907,2,0.6362256291749223,1.7070181156343458
64,16,grouped,32,9-11-2,3.109427,2,0.624047131513298,1.6743427325999294
64,16,radix4-matched,1,9-11-2,5.206246500000001,2,0.37271170314352187,1.0
64,16,v06,0,9-11,1.940429,2,1.0,2.6830389053142376
