word_bits,batch,variant,fragment_width,writer_tiles,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_grouped
64,4,writer-final,32,2,10-9-3,1.398272,1,0.4368363236909557,0.6916150791834493
64,4,writer-final,32,2,8-10-2,1.784423,1,0.3423044872207991,0.5419488540553444
64,4,writer-final,32,2,8-7-5,1.18784,1,0.5142241379310345,0.8141382677801724
64,4,writer-final,32,2,8-8-4,1.170739,1,0.5217354166898003,0.8260303961856571
64,4,writer-final,32,2,8-9-3,1.371648,1,0.4453154162000747,0.7050394853490108
64,4,writer-final,32,2,9-7-5,1.138176,1,0.5366621682411156,0.8496629695231668
64,4,writer-final,32,2,9-8-4,1.236173,1,0.49411854166043107,0.7823063600321314
64,4,writer-final,32,2,9-9-3,1.361408,1,0.44866491162091016,0.7103425277359909
64,16,grouped,16,2,8-10-2,3.2,1,0.6334399999999999,1.0
64,16,v06,0,0,9-11,2.027008,1,1.0,1.5786814852235413
64,16,writer-final,8,1,10-8-4,3.772109,1,0.5373672924085704,0.8483317952901149
64,16,writer-final,8,1,10-9-3,3.6864,1,0.5498611111111111,0.8680555555555556
64,16,writer-final,8,1,8-10-2,3.35657,1,0.6038926642375997,0.9533541680942152
64,16,writer-final,8,1,8-7-5,3.597414,1,0.5634625316963796,0.8895278664062574
64,16,writer-final,8,1,8-8-4,3.382579,1,0.5992492710443718,0.9460237292314534
64,16,writer-final,8,1,8-9-3,3.451597,1,0.5872667058176259,0.9271070753625061
64,16,writer-final,8,1,9-7-5,3.846349,1,0.5269953402564354,0.831957786461915
64,16,writer-final,8,1,9-8-4,3.603354,1,0.562533683895615,0.8880615115805996
64,16,writer-final,8,1,9-9-3,3.537305,1,0.5730373829794151,0.9046435068505544
64,16,writer-final,8,2,10-8-4,3.767398,1,0.5380392514940019,0.8493926046571135
64,16,writer-final,8,2,10-9-3,3.69408,1,0.5487179487179487,0.8662508662508663
64,16,writer-final,8,2,8-10-2,3.347149,1,0.6055924011748506,0.9560375113268039
64,16,writer-final,8,2,8-7-5,3.568947,1,0.567956879157914,0.8966230095319432
64,16,writer-final,8,2,8-8-4,3.324928,1,0.6096396673852787,0.9624268555589776
64,16,writer-final,8,2,8-9-3,3.378176,1,0.6000303122158229,0.9472567444680207
64,16,writer-final,8,2,9-7-5,3.868877,1,0.5239267105157388,0.827113397505271
64,16,writer-final,8,2,9-8-4,3.568435,1,0.5680383697615341,0.8967516572390979
64,16,writer-final,8,2,9-9-3,3.527373,1,0.5746508804144047,0.9071907053776281
64,16,writer-final,16,1,10-8-4,3.485184,1,0.581607169090642,0.9181724695166741
64,16,writer-final,16,1,10-9-3,3.411968,1,0.5940876350540216,0.9378751500600241
64,16,writer-final,16,1,8-10-2,3.730432,1,0.5433708482020313,0.8578094976667582
64,16,writer-final,16,1,8-7-5,3.33353,1,0.6080665240750796,0.9599433633415628
64,16,writer-final,16,1,8-8-4,3.062579,1,0.6618630898990687,1.044871005776504
64,16,writer-final,16,1,8-9-3,3.120947,1,0.649484915956599,1.0253298117526508
64,16,writer-final,16,1,9-7-5,3.684864,1,0.5500903154091983,0.8684173961372794
64,16,writer-final,16,1,9-8-4,3.299123,1,0.6144081321005613,0.9699547425179359
64,16,writer-final,16,1,9-9-3,3.188326,1,0.6357593295039465,1.0036614825460133
64,16,writer-final,16,2,10-8-4,3.495936,1,0.5798183948447568,0.9153485647334506
64,16,writer-final,16,2,10-9-3,3.435111,1,0.5900851529979672,0.9315565057431915
64,16,writer-final,16,2,8-10-2,3.715072,1,0.5456174200661521,0.8613561190738699
64,16,writer-final,16,2,8-7-5,3.345203,1,0.6059446915478671,0.9565936656161076
64,16,writer-final,16,2,8-8-4,3.059507,1,0.6625276555994152,1.0459201433433558
64,16,writer-final,16,2,8-9-3,3.120538,1,0.6495700420888962,1.025464198801617
64,16,writer-final,16,2,9-7-5,3.613901,1,0.5608919558117392,0.8854697458508134
64,16,writer-final,16,2,9-8-4,3.318989,1,0.6107305568050994,0.9641490224884747
64,16,writer-final,16,2,9-9-3,3.193242,1,0.6347805772315408,1.002116344454946
64,16,writer-final,32,1,10-8-4,4.26496,1,0.47527010804321723,0.7503001200480192
64,16,writer-final,32,1,10-9-3,4.90752,1,0.4130412102243088,0.6520605112154408
64,16,writer-final,32,1,8-10-2,6.215885,1,0.32610127117860127,0.5148100391175191
64,16,writer-final,32,1,8-7-5,3.601101,1,0.5628856285897007,0.8886171201529756
64,16,writer-final,32,1,8-8-4,4.00681,1,0.5058907210474168,0.7986403148639443
64,16,writer-final,32,1,8-9-3,4.751053,1,0.4266439460894248,0.6735348984740858
64,16,writer-final,32,1,9-7-5,3.795763,1,0.5340185886210493,0.8430452586212575
64,16,writer-final,32,1,9-8-4,4.092723,1,0.4952712411761069,0.7818755386084032
64,16,writer-final,32,1,9-9-3,4.735898,1,0.4280092181039372,0.6756902281256902
64,16,writer-final,32,2,10-8-4,4.289844,1,0.4725132195949316,0.745947871297884
64,16,writer-final,32,2,10-9-3,4.847718,1,0.4181365335194827,0.6601044037627601
