case,backend,word_bits,logN,batch,stage_space,role_stages,target_ctas_per_sm,data_space,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
w64_n12_b160_td12_ti1,hybrid-dataflow,64,12,160,6,6,1,16,12,1,2,hermes-xor,inplace,0.144328,1108588.416265,1
w64_n12_b160_ti1,hybrid-dataflow,64,12,160,6,6,1,16,8,1,2,hermes-xor,inplace,0.173583,921747.345820,1
w64_n12_b160_ti2,hybrid-dataflow,64,12,160,6,6,1,16,12,2,2,hermes-xor,inplace,0.147092,1087751.078921,1
w64_n12_b160_ur1,hybrid-dataflow,64,12,160,6,1,1,16,4,1,2,hermes-xor,inplace,0.247619,646155.128961,1
w64_n12_b256_td12_ti1,hybrid-dataflow,64,12,256,6,6,1,16,12,1,2,hermes-xor,inplace,0.256722,997187.954064,1
w64_n12_b256_ti1,hybrid-dataflow,64,12,256,6,6,1,16,8,1,2,hermes-xor,inplace,0.328330,779702.827665,1
w64_n12_b256_ti2,hybrid-dataflow,64,12,256,6,6,1,16,12,2,2,hermes-xor,inplace,0.266189,961723.407138,1
w64_n12_b256_ur1,hybrid-dataflow,64,12,256,6,1,1,16,4,1,2,hermes-xor,inplace,0.456166,561198.736947,1
w64_n12_b512_td12_ti1,hybrid-dataflow,64,12,512,6,6,1,16,12,1,2,hermes-xor,inplace,0.512717,998602.015355,1
w64_n12_b512_ti1,hybrid-dataflow,64,12,512,6,6,1,16,8,1,2,hermes-xor,inplace,0.617068,829730.923843,1
w64_n12_b512_ti2,hybrid-dataflow,64,12,512,6,6,1,16,12,2,2,hermes-xor,inplace,0.533094,960430.261722,1
w64_n12_b512_ur1,hybrid-dataflow,64,12,512,6,1,1,16,4,1,2,hermes-xor,inplace,0.803052,637568.051407,1
