case,word_bits,logN,batch,role_stages,data_time,full_replica_rounds,tail_replicas,tokens_per_replica,kernel_ms,token_count,packet_count,serial_slots_per_packet,serial_token_slots,token_capacity_utilization,adjacent_speedup,regret,correct
w32_n10_b256_td7,32,10,256,5,7,1,2,1.4,0.031677,32,5,2,10,0.64,1.1214130125958899,1.1320896322504557,1
w32_n10_b256_td8,32,10,256,5,8,1,3,1.6,0.028626,32,4,2,8,0.8,1.1065814294697127,1.023051356277474,1
w32_n10_b256_td9,32,10,256,5,9,1,4,1.8,0.027981,32,4,2,8,0.8,1.023051356277474,1.0,1
w32_n10_b256_td10,32,10,256,5,10,2,0,2.0,0.028201,32,4,2,8,0.8,0.9921988581965178,1.0078624781101462,1
w32_n10_b256_td11,32,10,256,5,11,2,1,2.2,0.029281,32,3,3,9,0.7111111111111111,0.9631160137973429,1.0464600979235912,1
w32_n10_b256_td12,32,10,256,5,12,2,2,2.4,0.02946,32,3,3,9,0.7111111111111111,0.9939239646978955,1.0528572960223008,1
w32_n10_b256_td13,32,10,256,5,13,2,3,2.6,0.029599,32,3,3,9,0.7111111111111111,0.9953038954018717,1.0578249526464387,1
w32_n10_b256_td14,32,10,256,5,14,2,4,2.8,0.02881,32,3,3,9,0.7111111111111111,1.0273863241929886,1.0296272470605052,1
w32_n10_b256_td15,32,10,256,5,15,3,0,3.0,0.02901,32,3,3,9,0.7111111111111111,0.993105825577387,1.0367749544333655,1
w32_n10_b256_td16,32,10,256,5,16,3,1,3.2,0.028247,32,2,4,8,0.8,1.027011718058555,1.0095064508059042,1
w32_n10_b512_td1,32,10,512,5,1,0,1,0.2,0.182948,32,32,1,32,0.2,,3.6860153526887354,1
w32_n10_b512_td2,32,10,512,5,2,0,2,0.4,0.095514,32,16,1,16,0.4,1.9154050715078417,1.9244051336812202,1
w32_n10_b512_td3,32,10,512,5,3,0,3,0.6,0.071921,32,11,1,11,0.5818181818181818,1.3280404888697321,1.4490560715652894,1
w32_n10_b512_td4,32,10,512,5,4,0,4,0.8,0.057539,32,8,1,8,0.8,1.2499522063296198,1.1592891826002862,1
w32_n10_b512_td5,32,10,512,5,5,1,0,1.0,0.057641,32,7,1,7,0.9142857142857143,0.9982304262590864,1.161344266919187,1
w32_n10_b512_td6,32,10,512,5,6,1,1,1.2,0.065167,32,6,2,12,0.5333333333333333,0.8845120996823544,1.3129772530372938,1
w32_n10_b512_td7,32,10,512,5,7,1,2,1.4,0.057257,32,5,2,10,0.64,1.138149047278062,1.15360747889509,1
w32_n10_b512_td8,32,10,512,5,8,1,3,1.6,0.051364,32,4,2,8,0.8,1.1147301612023985,1.0348759897648743,1
w32_n10_b512_td9,32,10,512,5,9,1,4,1.8,0.049633,32,4,2,8,0.8,1.0348759897648743,1.0,1
w32_n10_b512_td10,32,10,512,5,10,2,0,2.0,0.04969,32,4,2,8,0.8,0.998852887905011,1.001148429472327,1
w32_n10_b512_td11,32,10,512,5,11,2,1,2.2,0.05419,32,3,3,9,0.7111111111111111,0.9169588484960324,1.0918139141297123,1
w32_n10_b512_td12,32,10,512,5,12,2,2,2.4,0.054584,32,3,3,9,0.7111111111111111,0.9927817675509307,1.0997521810086033,1
w32_n10_b512_td13,32,10,512,5,13,2,3,2.6,0.054103,32,3,3,9,0.7111111111111111,1.0088904496977986,1.0900610480930026,1
w32_n10_b512_td14,32,10,512,5,14,2,4,2.8,0.05399,32,3,3,9,0.7111111111111111,1.002092980181515,1.0877843370338285,1
w32_n10_b512_td15,32,10,512,5,15,3,0,3.0,0.054031,32,3,3,9,0.7111111111111111,0.9992411763617183,1.0886104003384847,1
w32_n10_b512_td16,32,10,512,5,16,3,1,3.2,0.051697,32,2,4,8,0.8,1.0451476874867014,1.0415852356295208,1
w32_n12_b1_td1,32,12,1,6,1,0,1,0.16666666666666666,0.446986,64,64,1,64,0.16666666666666666,,5.688509360245365,1
w32_n12_b1_td2,32,12,1,6,2,0,2,0.3333333333333333,0.22274,64,32,1,32,0.3333333333333333,2.00676124629613,2.834671723277804,1
w32_n12_b1_td3,32,12,1,6,3,0,3,0.5,0.156308,64,22,1,22,0.48484848484848486,1.4250070373877217,1.989233490716113,1
w32_n12_b1_td4,32,12,1,6,4,0,4,0.6666666666666666,0.115876,64,16,1,16,0.6666666666666666,1.3489247126238393,1.4746808862644287,1
w32_n12_b1_td5,32,12,1,6,5,0,5,0.8333333333333334,0.096333,64,13,1,13,0.8205128205128205,1.2028692140803257,1.2259694312585108,1
w32_n12_b1_td6,32,12,1,6,6,1,0,1.0,0.083743,64,11,1,11,0.9696969696969697,1.15034092401753,1.065744429031396,1
w32_n12_b1_td7,32,12,1,6,7,1,1,1.1666666666666667,0.126039,64,10,2,20,0.5333333333333333,0.6644213299058227,1.6040189877445057,1
w32_n12_b1_td8,32,12,1,6,8,1,2,1.3333333333333333,0.105989,64,8,2,16,0.6666666666666666,1.1891705743048808,1.3488552629904427,1
w32_n12_b1_td9,32,12,1,6,9,1,3,1.5,0.099441,64,8,2,16,0.6666666666666666,1.065848090827727,1.2655229901879685,1
w32_n12_b1_td10,32,12,1,6,10,1,4,1.6666666666666667,0.0883,64,7,2,14,0.7619047619047619,1.126172140430351,1.1237384985428307,1
w32_n12_b1_td11,32,12,1,6,11,1,5,1.8333333333333333,0.081178,64,6,2,12,0.8888888888888888,1.087733129665673,1.0331012891813127,1
w32_n12_b1_td12,32,12,1,6,12,2,0,2.0,0.078577,64,6,2,12,0.8888888888888888,1.0331012891813127,1.0,1
w32_n12_b1_td13,32,12,1,6,13,2,1,2.1666666666666665,0.097976,64,5,3,15,0.7111111111111111,0.8020025312321385,1.2468788576810008,1
w32_n12_b1_td14,32,12,1,6,14,2,2,2.3333333333333335,0.097792,64,5,3,15,0.7111111111111111,1.0018815445026177,1.244537205543607,1
w32_n12_b1_td15,32,12,1,6,15,2,3,2.5,0.091223,64,5,3,15,0.7111111111111111,1.0720103482674326,1.1609376789645827,1
w32_n12_b1_td16,32,12,1,6,16,2,4,2.6666666666666665,0.081121,64,4,3,12,0.8888888888888888,1.1245300230519841,1.032375886073533,1
w32_n12_b16_td1,32,12,16,6,1,0,1,0.16666666666666666,0.45163,64,64,1,64,0.16666666666666666,,6.23694967684914,1
w32_n12_b16_td2,32,12,16,6,2,0,2,0.3333333333333333,0.209628,64,32,1,32,0.3333333333333333,2.1544354761768463,2.894934541236259,1
w32_n12_b16_td3,32,12,16,6,3,0,3,0.5,0.146611,64,22,1,22,0.48484848484848486,1.4298245015721878,2.024678230127603,1
w32_n12_b16_td4,32,12,16,6,4,0,4,0.6666666666666666,0.109117,64,16,1,16,0.6666666666666666,1.3436128192673917,1.5068911230182842,1
w32_n12_b16_td5,32,12,16,6,5,0,5,0.8333333333333334,0.090476,64,13,1,13,0.8205128205128205,1.2060325390158717,1.2494614152350438,1
w32_n12_b16_td6,32,12,16,6,6,1,0,1.0,0.078643,64,11,1,11,0.9696969696969697,1.1504647584654706,1.0860492736010605,1
w32_n12_b16_td7,32,12,16,6,7,1,1,1.1666666666666667,0.118369,64,10,2,20,0.5333333333333333,0.664388480091916,1.6346600011047892,1
w32_n12_b16_td8,32,12,16,6,8,1,2,1.3333333333333333,0.099528,64,8,2,16,0.6666666666666666,1.1893035125793745,1.374468320167928,1
w32_n12_b16_td9,32,12,16,6,9,1,3,1.5,0.093486,64,8,2,16,0.6666666666666666,1.0646299980745781,1.2910291111970391,1
w32_n12_b16_td10,32,12,16,6,10,1,4,1.6666666666666667,0.083005,64,7,2,14,0.7619047619047619,1.1262695018372388,1.1462879080815334,1
w32_n12_b16_td11,32,12,16,6,11,1,5,1.8333333333333333,0.076293,64,6,2,12,0.8888888888888888,1.0879766164654685,1.0535960890460143,1
w32_n12_b16_td12,32,12,16,6,12,2,0,2.0,0.072412,64,6,2,12,0.8888888888888888,1.0535960890460143,1.0,1
w32_n12_b16_td13,32,12,16,6,13,2,1,2.1666666666666665,0.089047,64,5,3,15,0.7111111111111111,0.8131885408829046,1.2297271170524222,1
w32_n12_b16_td14,32,12,16,6,14,2,2,2.3333333333333335,0.088852,64,5,3,15,0.7111111111111111,1.0021946607842254,1.2270341932276418,1
w32_n12_b16_td15,32,12,16,6,15,2,3,2.5,0.082934,64,5,3,15,0.7111111111111111,1.071357947283382,1.1453074076119978,1
w32_n12_b16_td16,32,12,16,6,16,2,4,2.6666666666666665,0.073713,64,4,3,12,0.8888888888888888,1.1250932671306282,1.0179666353643042,1
w32_n12_b80_td1,32,12,80,6,1,0,1,0.16666666666666666,0.410547,64,64,1,64,0.16666666666666666,,6.005485503642374,1
w32_n12_b80_td2,32,12,80,6,2,0,2,0.3333333333333333,0.197581,64,32,1,32,0.3333333333333333,2.077866798933096,2.8902167871039466,1
