word_bits,batch,physical_core,weights,kernel_ms,min_ms,trials,v06_ms,speedup_vs_v06
32,4,appt-online,8-6-6,0.926106,0.926106,1,0.350413,0.3783724541251217
32,4,appt-online,8-7-5,0.917709,0.917709,1,0.350413,0.38183454668091954
32,4,appt-online,8-8-4,0.97751,0.97751,1,0.350413,0.35847510511401415
32,4,appt-online,8-9-3,1.047757,1.047757,1,0.350413,0.33444109655196763
32,4,appt-online,9-3-8,1.2032,1.2032,1,0.350413,0.2912342087765957
32,4,appt-online,9-4-7,1.107763,1.107763,1,0.350413,0.31632488176622614
32,4,appt-online,9-5-6,1.015603,1.015603,1,0.350413,0.34502950463911586
32,4,appt-online,9-6-5,0.969933,0.969933,1,0.350413,0.3612754695427416
32,4,appt-online,9-7-4,0.992051,0.992051,1,0.350413,0.35322075175570605
32,4,appt-online,9-8-3,0.982835,0.982835,1,0.350413,0.3565328870054485
32,4,appt-online-radix4,10-3-7,1.265459,1.265459,1,0.350413,0.2769058499722235
32,4,appt-online-radix4,10-4-6,1.106534,1.106534,1,0.350413,0.31667621600420776
32,4,appt-online-radix4,10-5-5,1.041818,1.041818,1,0.350413,0.336347615418432
32,4,appt-online-radix4,10-6-4,1.171661,1.171661,1,0.350413,0.29907370818009643
32,4,appt-online-radix4,10-7-3,1.396326,1.396326,1,0.350413,0.2509535738788793
32,4,appt-online-radix4,3-10-7,1.200742,1.200742,1,0.350413,0.29183038487868335
32,4,appt-online-radix4,3-7-10,1.103872,1.103872,1,0.350413,0.31743988433441556
32,4,appt-online-radix4,3-8-9,1.164083,1.164083,1,0.350413,0.301020631690352
32,4,appt-online-radix4,3-9-8,1.127424,1.127424,1,0.350413,0.3108085334355132
32,4,appt-online-radix4,4-10-6,1.144218,1.144218,1,0.350413,0.3062467117280099
32,4,appt-online-radix4,4-6-10,1.032602,1.032602,1,0.350413,0.33934952672956276
32,4,appt-online-radix4,4-7-9,1.041408,1.041408,1,0.350413,0.3364800347222222
32,4,appt-online-radix4,4-8-8,1.072742,1.072742,1,0.350413,0.3266517019003637
32,4,appt-online-radix4,4-9-7,1.19808,1.19808,1,0.350413,0.29247879941239313
32,4,appt-online-radix4,5-10-5,1.191322,1.191322,1,0.350413,0.29413794087576656
32,4,appt-online-radix4,5-5-10,1.077862,1.077862,1,0.350413,0.3251000591912508
32,4,appt-online-radix4,5-6-9,1.004954,1.004954,1,0.350413,0.3486856114807245
32,4,appt-online-radix4,5-7-8,1.03383,1.03383,1,0.350413,0.33894644187148754
32,4,appt-online-radix4,5-8-7,1.115546,1.115546,1,0.350413,0.31411792969541374
32,4,appt-online-radix4,5-9-6,1.087898,1.087898,1,0.350413,0.32210096902466956
32,4,appt-online-radix4,6-10-4,1.257267,1.257267,1,0.350413,0.2787100910148759
32,4,appt-online-radix4,6-4-10,1.134387,1.134387,1,0.350413,0.30890075432810843
32,4,appt-online-radix4,6-5-9,1.058202,1.058202,1,0.350413,0.3311399902854086
32,4,appt-online-radix4,6-6-8,0.985702,0.985702,1,0.350413,0.35549588009357797
32,4,appt-online-radix4,6-7-7,1.035469,1.035469,1,0.350413,0.3384099379121924
32,4,appt-online-radix4,6-8-6,1.017242,1.017242,1,0.350413,0.3444735864228964
32,4,appt-online-radix4,6-9-5,1.222861,1.222861,1,0.350413,0.28655178307264684
32,4,appt-online-radix4,7-10-3,1.420288,1.420288,1,0.350413,0.246719679388969
32,4,appt-online-radix4,7-3-10,1.189478,1.189478,1,0.350413,0.29459393111936494
32,4,appt-online-radix4,7-4-9,1.061683,1.061683,1,0.350413,0.33005426290144985
32,4,appt-online-radix4,7-5-8,1.044685,1.044685,1,0.350413,0.3354245538128718
32,4,appt-online-radix4,7-6-7,0.968294,0.968294,1,0.350413,0.3618869888690831
32,4,appt-online-radix4,7-7-6,0.979763,0.979763,1,0.350413,0.357650778810794
32,4,appt-online-radix4,7-8-5,1.078682,1.078682,1,0.350413,0.3248529223626611
32,4,appt-online-radix4,7-9-4,1.256448,1.256448,1,0.350413,0.27889176472086386
32,4,appt-online-radix4,8-3-9,1.195418,1.195418,1,0.350413,0.29313010177193244
32,4,appt-online-radix4,8-4-8,1.11104,1.11104,1,0.350413,0.31539188508064514
32,4,appt-online-radix4,8-5-7,1.036288,1.036288,1,0.350413,0.33814248548666004
32,4,appt-online-radix4,8-6-6,0.98263,0.98263,1,0.350413,0.3566072682494937
32,4,appt-online-radix4,8-7-5,1.020723,1.020723,1,0.350413,0.3432988185825145
32,4,appt-online-radix4,8-8-4,1.176781,1.176781,1,0.350413,0.29777248273043155
32,4,appt-online-radix4,8-9-3,1.418854,1.418854,1,0.350413,0.24696903275460333
32,4,appt-online-radix4,9-3-8,1.216102,1.216102,1,0.350413,0.28814441551777725
32,4,appt-online-radix4,9-4-7,1.131725,1.131725,1,0.350413,0.3096273387969692
32,4,appt-online-radix4,9-5-6,1.072538,1.072538,1,0.350413,0.32671383205070587
32,4,appt-online-radix4,9-6-5,1.036493,1.036493,1,0.350413,0.338075606878194
32,4,appt-online-radix4,9-7-4,1.211597,1.211597,1,0.350413,0.2892158036046639
32,4,appt-online-radix4,9-8-3,1.379328,1.379328,1,0.350413,0.2540461732089829
64,1,appt-online,10-3-7,0.894771,0.894771,1,0.229786,0.25680984296540676
64,1,appt-online,10-4-6,0.731546,0.731546,1,0.229786,0.3141101174772331
64,1,appt-online,10-5-5,0.825139,0.825139,1,0.229786,0.2784815649242128
64,1,appt-online,10-6-4,0.833946,0.833946,1,0.229786,0.2755406225343128
64,1,appt-online,10-7-3,1.017037,1.017037,1,0.229786,0.22593671616666847
64,1,appt-online,3-10-7,0.886784,0.886784,1,0.229786,0.25912285291570436
64,1,appt-online,3-7-10,0.847053,0.847053,1,0.229786,0.27127700391829085
64,1,appt-online,3-8-9,0.851149,0.851149,1,0.229786,0.26997153259887513
64,1,appt-online,3-9-8,0.85545,0.85545,1,0.229786,0.2686141796715179
64,1,appt-online,4-10-6,0.71721,0.71721,1,0.229786,0.3203887285453354
64,1,appt-online,4-6-10,0.731136,0.731136,1,0.229786,0.3142862613795518
64,1,appt-online,4-7-9,0.726016,0.726016,1,0.229786,0.31650266660789844
64,1,appt-online,4-8-8,0.671539,0.671539,1,0.229786,0.3421781906933179
64,1,appt-online,4-9-7,0.697549,0.697549,1,0.229786,0.32941915191620946
64,1,appt-online,5-10-5,0.816538,0.816538,1,0.229786,0.2814149494573431
