"File Path","/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh"
"Function Name","void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int, (unsigned int)4>(const T1 *, T1 *, T1 *, unsigned int *, unsigned long, const T1 *, const T1 *, unsigned long long *, unsigned int, cuntt::<unnamed>::NttStageOperatorT<T1>)"
"Line No","Source","Address","Source","Warp Stall Sampling (All Cycles)","Warp Stall Sampling (Not-issued Cycles)","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)","smsp__pcsamp_sample_count"
"","","0x771c2d25d6b0","     IADD3 R20, P2, R21, c[0x0][0x188], RZ ","35","7","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","9","11","0","0","0","8","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","3","35"
"","","0x771c2d25d6c0","     IADD3.X R19, R19, c[0x0][0x18c], RZ, P0, !PT ","30","6","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","12","0","0","0","13","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","30"
"","","0x771c2d25d6d0","     LDG.E.SYS R16, [R16] ","129","76","655360","20971520","20971520","32","32","0","Global","Load","32","983040","0","0","0","229376","1966080","1736704","0","0","2","0","0","81","0","0","0","28","0","0","7","11","0","0","0","0","0","0","0","0","54","0","0","0","22","0","0","0","0","0","0","0","0","129"
"","","0x771c2d25d6e0","     IADD3.X R21, R32, c[0x0][0x18c], RZ, P2, !PT ","11","0","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"","","0x771c2d25d6f0","     LDG.E.SYS R18, [R18] ","243","131","655360","20971520","20971520","32","32","0","Global","Load","32","983040","0","0","0","229376","1966080","1736704","0","0","4","0","0","104","0","0","0","41","0","0","17","11","0","0","0","66","0","0","0","0","71","0","0","0","25","0","0","0","0","0","0","0","35","243"
"","","0x771c2d25d700","     LDG.E.SYS R20, [R20] ","170","85","655360","20971520","20971520","32","32","0","Global","Load","32","983040","0","0","0","229376","1966080","1736704","0","0","2","0","0","65","0","0","0","33","1","1","20","11","0","0","0","37","0","0","0","0","45","0","0","0","28","0","0","0","0","0","0","0","12","170"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d7d0","     IMAD.WIDE.U32 R14, R29, R28, RZ ","5183","3022","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","2","0","0","0","4940","35","0","0","0","0","27","10","160","0","0","9","0","0","0","0","0","2922","7","0","0","0","0","0","0","89","0","0","4","5183"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d800","     IMAD.WIDE.U32 R28, R17, R28, RZ ","27","2","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","13","0","0","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","27"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d8e0","     IMAD.WIDE.U32 R16, R37, R16, RZ ","700","451","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","659","11","0","0","0","0","11","7","0","0","0","12","0","0","0","0","0","444","3","0","0","0","0","0","0","0","0","0","4","700"
"","","0x771c2d25d8f0","     IMAD.WIDE.U32 R14, R28, R31, RZ ","333","185","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","4","0","0","0","243","20","0","0","1","0","15","11","0","0","0","39","0","2","0","0","0","167","2","0","0","0","0","0","0","0","0","0","14","333"
"","","0x771c2d25d900","     IMAD.MOV.U32 R29, RZ, RZ, R15 ","110","17","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","7","0","0","0","0","21","0","0","1","0","15","13","0","0","0","53","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","13","110"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25d960","     IMAD.IADD R16, R26, 0x1, R21 ","33","5","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","6","10","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","33"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
