implementation,category,address,file,line,theoretical_sectors,theoretical_ideal,theoretical_excessive,l1_tag_requests,instructions,stall_long_scoreboard,source,sass
v07-d6,stage 2-6 coefficients,0x71b3e3263660,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,122880.0,65536.0,57344.0,79872.0,65536.0,0.0,lane_coefficient =,"@!P2 LDG.E.SYS R89, [R74+0x10]"
v07-d6,stage 2-6 coefficients,0x71b3e3263670,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,122880.0,65536.0,57344.0,79872.0,65536.0,0.0,lane_coefficient =,"@!P2 LDG.E.SYS R56, [R74+0x10]"
v07-d6,stage 2-6 coefficients,0x71b3e32639c0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,188416.0,131072.0,57344.0,96256.0,65536.0,0.0,lane_coefficient =,"@!P3 LDG.E.SYS R58, [R74+0x30]"
v07-d6,stage 2-6 coefficients,0x71b3e32668f0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,lane_coefficient =,"LDG.E.SYS R88, [R74+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e325cab0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,65536.0,65536.0,0.0,524288.0,65536.0,0.0,lane_coefficient_shoup =,"@!P0 LDG.E.SYS R56, [R32]"
v07-d6,stage 2-6 coefficients,0x71b3e325d5a0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,131072.0,65536.0,65536.0,459077.0,65536.0,0.0,lane_coefficient_shoup =,"@!P1 LDG.E.SYS R57, [R32+0x10]"
v07-d6,stage 2-6 coefficients,0x71b3e325dd40,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,196608.0,131072.0,65536.0,65536.0,65536.0,0.0,lane_coefficient_shoup =,"LDG.E.SYS R57, [R32+0x30]"
v07-d6,stage 2-6 coefficients,0x71b3e325e4a0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,lane_coefficient_shoup =,"LDG.E.SYS R86, [R56+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e325f3b0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,65536.0,65536.0,0.0,65536.0,65536.0,0.0,lane_coefficient_shoup =,"@!P6 LDG.E.SYS R69, [R56]"
v07-d6,stage 2-6 coefficients,0x71b3e325ff10,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,131072.0,65536.0,65536.0,65536.0,65536.0,0.0,lane_coefficient_shoup =,"LDG.E.SYS R55, [R56+0x10]"
v07-d6,stage 2-6 coefficients,0x71b3e3260630,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,196608.0,131072.0,65536.0,65536.0,65536.0,0.0,lane_coefficient_shoup =,"@!P0 LDG.E.SYS R55, [R56+0x30]"
v07-d6,stage 2-6 coefficients,0x71b3e3260d10,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,lane_coefficient_shoup =,"LDG.E.SYS R56, [R56+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e3263460,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,90112.0,65536.0,24576.0,78848.0,65536.0,0.0,lane_coefficient_shoup =,"@!P1 LDG.E.SYS R88, [R32]"
v07-d6,stage 2-6 coefficients,0x71b3e3263470,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,lane_coefficient_shoup =,"LDG.E.SYS R85, [R72+0x70]"
v07-d6,stage 2-6 coefficients,0x71b3e3263560,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,188416.0,131072.0,57344.0,96256.0,65536.0,0.0,lane_coefficient_shoup =,"@!P3 LDG.E.SYS R78, [R60+0x30]"
v07-d6,stage 2-6 coefficients,0x71b3e32635f0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,90112.0,65536.0,24576.0,71680.0,65536.0,0.0,lane_coefficient_shoup =,"@!P1 LDG.E.SYS R55, [R72]"
v07-d6,stage 2-6 coefficients,0x71b3e3263680,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,122880.0,65536.0,57344.0,79872.0,65536.0,0.0,lane_coefficient_shoup =,"@!P2 LDG.E.SYS R87, [R58+0x10]"
v07-d6,stage 2-6 coefficients,0x71b3e3263690,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,122880.0,65536.0,57344.0,79872.0,65536.0,0.0,lane_coefficient_shoup =,"@!P2 LDG.E.SYS R57, [R72+0x10]"
v07-d6,stage 2-6 coefficients,0x71b3e32639e0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3860,188416.0,131072.0,57344.0,96256.0,65536.0,0.0,lane_coefficient_shoup =,"@!P3 LDG.E.SYS R59, [R72+0x30]"
