word_bits,batch,variant,data_time,role_mask,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_writer_final
64,4,v06,0,0,9-11,0.581598,3,1.0,1.5581896774060435
64,4,writer-final,1,0,8-8-4,0.90624,3,0.6417703919491524,1.0
64,16,data-time,1,4,8-7-5,3.40422,3,0.5416662260370951,0.9097690513539077
64,16,data-time,1,4,8-8-4,3.109308,3,0.5930422460560356,0.9960589301542336
64,16,data-time,1,4,9-8-3,3.211844,3,0.5741097637369685,0.9642604061716571
64,16,data-time,1,6,8-7-5,3.402615,3,0.5419217278475525,0.9101981858070924
64,16,data-time,1,6,8-8-4,3.119718,3,0.5910633589318008,0.9927352408134325
64,16,data-time,1,6,9-8-3,3.204608,3,0.5754061027120946,0.9664377047052245
64,16,data-time,1,7,8-7-5,3.403844,3,0.5417260603012359,0.9098695474880752
64,16,data-time,1,7,8-8-4,3.111902,3,0.5925479015727358,0.9952286415189167
64,16,data-time,1,7,9-8-3,3.211947,3,0.574091353313115,0.9642294844840217
64,16,data-time,2,4,8-7-5,3.445862,3,0.535120384971888,0.8987748203497412
64,16,data-time,2,4,8-8-4,3.20628,3,0.5751060418927854,0.9659337300547675
64,16,data-time,2,4,9-8-3,3.272124,3,0.5635333502031097,0.9464965264152582
64,16,data-time,2,6,8-7-5,3.544713,3,0.5201975449070206,0.8737107912544683
64,16,data-time,2,6,8-8-4,3.157641,3,0.5839647382333837,0.9808125749570645
64,16,data-time,2,6,9-8-3,3.254682,3,0.5665533529850229,0.9515688475863388
64,16,data-time,2,7,8-7-5,3.557478,3,0.5183309636770768,0.8705757280860205
64,16,data-time,2,7,8-8-4,3.204472,3,0.5754305233436272,0.96647872098742
64,16,data-time,2,7,9-8-3,3.30537,3,0.5578652314264364,0.9369764958234631
64,16,data-time,4,4,8-7-5,3.53338,3,0.5218660319580685,0.8765131403924853
64,16,data-time,4,4,8-8-4,3.358993,3,0.5489594649348778,0.9220185930723881
64,16,data-time,4,4,9-8-3,3.414221,3,0.5400795671984913,0.9071041388357696
64,16,data-time,4,6,8-7-5,3.774532,3,0.4885244051447967,0.8205133775525019
64,16,data-time,4,6,8-8-4,3.300147,3,0.5587481406131303,0.9384594080203094
64,16,data-time,4,6,9-8-3,3.371349,3,0.5469475275327472,0.9186393933111049
64,16,data-time,4,7,8-7-5,3.88038,3,0.4751985630273323,0.7981316262840237
64,16,data-time,4,7,8-8-4,3.399646,3,0.5423950023031809,0.9109930857506928
64,16,data-time,4,7,9-8-3,3.492557,3,0.5279659000554607,0.886758326349434
64,16,v06,0,0,9-11,1.843951,3,1.0,1.6795749995525913
64,16,writer-final,1,0,8-8-4,3.097054,3,0.5953887145655193,1.0
