trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
4,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.817696,0.052337,2.610816,313050279.778006,320.563486,80140871623.169464,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.783072,0.052367,2.601664,312866644.180344,320.375444,80093860910.167969,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.778912,0.355246,2.602496,46120140.784949,47.227024,11806756040.947037,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.777408,0.355287,2.599680,46114825.236349,47.221581,11805395260.505365,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.786560,0.355297,2.591296,46113498.474643,47.220222,11805055609.508566,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.785920,0.355185,2.598592,46128120.276365,47.235195,11808798790.749369,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.783360,0.355277,2.606176,46116155.942848,47.222944,11805735921.369074,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.784320,0.227748,2.606688,71939210.523179,73.665752,18416437893.933743,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.780128,0.227830,2.599744,71913346.202558,73.639267,18409816627.854755,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,superset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.791872,0.227707,2.606624,71952156.724341,73.679008,18419752121.431183,0.000000,-1
