trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,256,0,0,12,4096,1024,1,4096,20,100,2.783936,0.114186,2.596864,8967805.403405,220.392786,36732130932.346451,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,256,0,0,12,4096,1024,1,4096,20,100,2.805920,0.114125,2.600000,8972633.095637,220.511431,36751905159.728447,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,14,16384,256,1,16384,20,100,2.782912,0.250132,2.592448,1023457.684826,117.378315,16768330708.185448,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,14,16384,256,1,16384,20,100,2.781792,0.250061,2.608608,1023751.037107,117.411959,16773136991.961529,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,14,16384,256,1,16384,20,100,2.775168,0.249989,2.617952,1024044.557603,117.445622,16777946031.764696,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,14,16384,256,1,16384,20,100,2.787104,0.242360,2.604928,1056278.503536,121.142469,17306067001.931442,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,14,16384,256,1,16384,20,100,2.772032,0.242371,2.596768,1056233.889098,121.137352,17305336038.984303,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,14,16384,256,1,16384,20,100,2.778144,0.242330,2.605088,1056412.434426,121.157829,17308261325.630360,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,14,16384,256,1,16384,20,100,2.769280,0.237834,2.594880,1076379.896579,123.447858,17635408225.550797,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,14,16384,256,1,16384,20,100,2.776512,0.237978,2.602976,1075731.523920,123.373497,17624785287.904140,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,14,16384,256,1,16384,20,100,2.765824,0.237937,2.593600,1075916.655029,123.394729,17627818475.987900,0.000000,-1
