suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,library,library_version,plan_ms,max_abs_error,relative_l2_error,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
xor8_r2,xor-u32-fwd-log8,quick,butterfly,cuButterfly-radix2,0,3,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.772384,0.049725,2.608096,329489270.892755,337.397013,84349253348.545319,0.000000,-1,,,,,,,,,,,,,,,,,
fwht15_online,fwht-fp32-fwd-log15,quick,butterfly,cuButterfly-online-radix4,0,4,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,128,1,32768,1000,100,2.771296,0.316396,2.604704,404556.927763,99.423911,13256521408.932083,0.000000,-1,,,,,,,,,,,,,,,,,
fft3_mixed,fft-mixed-fwd-log3,full,butterfly,cuButterfly-WMMA,0,3,524288,1,0.000790,Tesla V100-SXM2-16GB,7.0,fft,fp16-fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,table,shared,wmma-dft8,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,3,8,524288,1,8,1000,100,5.481856,0.086948,5.106624,6029913788.574443,72.358965,48239310308.595543,0.000000,-1,,,,,,,,,,,,,,,,,
ntt16_60_inverse,ntt-u60-inverse-log16,full,ntt,cuNTT-Hybrid2D-radix2,0,3,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,inverse,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.462272,0.307855,5.102176,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,1,207889.829846,5886.516935,13624267888.761105,shoup
fwht15_online,fwht-fp32-fwd-log15,quick,butterfly,cuButterfly-online-radix4,0,1,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,128,1,32768,1000,100,2.827584,0.316795,2.600576,404046.943933,99.298577,13239810258.799730,0.000000,-1,,,,,,,,,,,,,,,,,
ntt16_60_r4,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix4,0,5,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,hybrid2d,radix4,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.493184,0.279603,5.106112,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,0,228895.820325,5882.948116,15000916480.830057,shoup
ntt12_30_hybrid,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix4,0,3,1024,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,hybrid2d,radix4,,fused,,,0,named-barrier,,,,,,,,,,,,12,4096,1024,1,4096,1000,100,2.816096,0.141087,2.598848,,,,,-1,natural,,,,,,32,1073692673,30,6,4,256,0,7257947.072771,184304.230585,29728551210.070793,shoup
ntt12_30_r2,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix2,1,3,1024,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,12,4096,1024,1,4096,1000,100,2.816960,0.164823,2.602240,,,,,-1,natural,,,,,,32,1073692673,30,6,4,256,0,6212723.644249,183380.326197,25447316046.845669,shoup
fft16_fp64_cufft,fft-fp64-fwd-log16,full,butterfly,cuFFT,1,5,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,16,65536,64,1,65536,1000,100,10.953344,0.342989,10.129152,186595.003908,97.829521,12228690176.106882,0.000000,-1,,,,,,,,,,,,,,,,,
fft18_vkfft,fft-fp32-fwd-log18,quick,fft-library,VkFFT,0,2,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.201113611,,79557.021943309,187.698563643,20855395960.306766510,,-1,,vkfft,10304,330.791058000,0.000000000,0.000000000,,,,,,,,,,,
