trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,0,16,65536,64,1,65536,50,100,5.452416,0.179231,5.107488,357081.613848,187.213605,23401700645.159187,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,0,16,65536,64,1,65536,50,100,5.455232,0.179456,5.109248,356633.360096,186.978591,23372323887.223286,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.759872,0.393974,2.594144,162447.363854,85.169204,10646150437.565651,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.765632,0.393994,2.598592,162438.922160,85.164778,10645597202.665335,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.764192,0.394056,2.600480,162413.602339,85.151503,10643937842.901628,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.795904,0.393994,2.604992,162438.922160,85.164778,10645597202.665335,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.764864,0.394076,2.604416,162405.151871,85.147072,10643384033.015196,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.808864,0.310723,2.601120,205971.526701,107.988400,13498549973.899971,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.762816,0.310579,2.610016,206066.593746,108.038242,13504780287.709347,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.760768,0.310671,2.596416,206005.471969,108.006197,13500774610.965944,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.765120,0.310630,2.595968,206032.628333,108.020435,13502554330.457745,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.761504,0.310630,2.603008,206032.628333,108.020435,13502554330.457745,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.762304,0.312996,2.597120,204475.573338,107.204089,13400511174.289829,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.759936,0.313190,2.594816,204348.536473,107.137485,13392185686.275457,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.760704,0.313068,2.599936,204428.740644,107.179536,13397441946.824514,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.760416,0.313037,2.602464,204448.806391,107.190056,13398756975.620567,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.762880,0.312986,2.593888,204482.251567,107.207591,13400948838.706028,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.774400,0.351519,2.596736,182067.117021,95.455605,11931950581.082798,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.766112,0.351580,2.592736,182035.293670,95.438920,11929865005.949186,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.776000,0.351590,2.595040,182030.001146,95.436145,11929518155.105152,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.776608,0.351611,2.595744,182019.401594,95.430588,11928823502.840076,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.775072,0.351570,2.598240,182040.586502,95.441695,11930211876.963192,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.778560,0.317512,2.639168,201567.389443,105.679363,13209920434.511076,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.779520,0.317563,2.898176,201534.890906,105.662325,13207790610.394756,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.784992,0.317614,2.634400,201502.402846,105.645292,13205661472.947145,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.856608,0.317512,2.653248,201567.389443,105.679363,13209920434.511076,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.780192,0.317512,2.658880,201567.389443,105.679363,13209920434.511076,0.000000,-1
