trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x4,recurrence,direct-strided,global-scratch,2,256x128,4x4,shared,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,11.047872,0.380170,10.167616,168345.626747,88.261592,11032698994.498838,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x4,recurrence,direct-strided,global-scratch,2,256x128,4x4,shared,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.932480,0.380170,10.107264,168345.626747,88.261592,11032698994.498838,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.958240,0.361759,10.176544,176913.487204,92.753618,11594202297.423700,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.933888,0.361697,10.111712,176943.544816,92.769377,11596172153.029028,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.957600,0.361574,10.122048,177003.676100,92.800903,11600112916.868713,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x256,4x4,recurrence,direct-strided,global-scratch,2,256x256,4x4,shared,cufftdx-block,0,named-barrier,32,256,256,4,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.952192,0.362537,10.125728,176533.721691,92.554512,11569313984.760853,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x256,4x4,recurrence,direct-strided,global-scratch,2,256x256,4x4,shared,cufftdx-block,0,named-barrier,32,256,256,4,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.943616,0.362783,10.123872,176414.137292,92.491815,11561476901.551701,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x256,4x4,recurrence,direct-strided,global-scratch,2,256x256,4x4,shared,cufftdx-block,0,named-barrier,32,256,256,4,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.930048,0.363028,10.124416,176294.700323,92.429196,11553649480.394854,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x256,4x8,recurrence,direct-strided,global-scratch,2,256x256,4x8,shared,cufftdx-block,0,named-barrier,32,256,256,4,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.947552,0.367637,10.131840,174084.998874,91.270676,11408834486.207254,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x256,4x8,recurrence,direct-strided,global-scratch,2,256x256,4x8,shared,cufftdx-block,0,named-barrier,32,256,256,4,8,4,8,8,1,0,0,16,65536,64,1,65536,100,50,10.956640,0.367903,10.132000,173959.026363,91.204630,11400578751.735695,0.000000,-1
