trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,20,100,2.811776,0.056453,2.698272,290223109.203176,297.188464,74297115956.012985,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,20,100,2.842816,0.056515,2.679488,289907605.030839,296.865388,74216346887.894806,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,20,100,2.917376,0.056545,2.657472,289750090.956322,296.704093,74176023284.818436,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,20,100,2.801696,0.056494,2.705792,290012690.466623,296.972995,74243248759.455414,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,20,100,2.780896,0.056474,2.673312,290117871.250243,297.080700,74270175040.062225,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,20,100,2.789728,0.054620,2.659488,299962495.611373,307.161596,76790398876.511429,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,20,100,2.778080,0.054641,2.850816,299850077.303914,307.046479,76761619789.802002,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,20,100,2.777632,0.054641,2.669984,299850077.303914,307.046479,76761619789.802002,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,20,100,2.780736,0.054620,2.661888,299962495.611373,307.161596,76790398876.511429,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,20,100,2.768800,0.054610,2.667200,300018767.080799,307.219217,76804804372.684586,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.783456,0.361093,2.663104,45373339.517413,46.462300,11615574916.457651,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,20,100,2.789952,0.361093,2.672736,45373339.517413,46.462300,11615574916.457651,0.000000,-1
