device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct,trial
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.863968,0.350003,2.774752,11428.467498,667.922028,11983616735.684925,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.393088,0.673382,5.143808,1520681.261895,91344.745062,6228710448.723352,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.496384,0.515994,5.166752,7752.034207,357.809610,8128597020.662276,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.475328,0.377190,5.136384,2714809.204822,93184.920901,11119858502.950521,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.491776,0.538982,5.169536,7421.392728,357.133467,7781894301.661111,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.472448,0.370739,5.149856,2762049.501995,93149.820810,11313354760.172777,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.914112,0.197837,2.821568,5175983.399971,172578.930244,21200828006.279621,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.494016,0.605696,5.136288,6603.972705,355.998565,6924767282.795046,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.477824,0.268646,5.118784,3811701.654642,94245.375694,15612729977.412279,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.820928,0.195840,2.622496,5228758.140398,181583.980155,21416993343.071842,fused,shoup,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.853728,0.397312,2.827904,10067.655007,658.009020,10556701416.391068,fused,barrett,natural,1,2
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.858304,0.326093,2.798912,12266.447618,668.526412,12862302577.435020,fused,shoup,natural,1,2
