trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.467200,0.967547,5.105152,270936759.242770,8.669976,4334988147.884319,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.457536,0.967598,5.097696,270922389.262815,8.669516,4334758228.205039,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.467424,0.967608,5.102976,270919535.476101,8.669425,4334712567.617610,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,4,16,262144,1,16,20,100,5.459936,0.084204,5.107648,3113219059.490400,99.623010,49811504951.846397,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,4,16,262144,1,16,20,100,5.466144,0.084214,5.105248,3112840338.462246,99.610891,49805445415.395943,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,4,16,262144,1,16,20,100,5.458816,0.084316,5.105472,3109060112.970160,99.489924,49744961807.522552,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,4,16,262144,1,16,20,100,5.458656,0.084285,5.100256,3110193243.713381,99.526184,49763091899.414101,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,4,16,262144,1,16,20,100,5.467264,0.084265,5.110784,3110949214.877543,99.550375,49775187438.040695,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.481408,0.102779,5.104768,2550562872.828993,81.618012,40809005965.263885,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.475488,0.103086,5.109312,2542962051.754339,81.374786,40687392828.069427,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.449248,0.103076,5.097280,2543214792.820756,81.382873,40691436685.132103,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.453536,0.103086,5.101472,2542962051.754339,81.374786,40687392828.069427,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.449504,0.103117,5.098880,2542204680.921571,81.350550,40675274894.745140,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.454496,0.102154,5.101472,2566158967.930718,82.117087,41058543486.891495,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.450432,0.102072,5.098272,2568218088.989159,82.182979,41091489423.826546,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.506976,0.101990,5.104576,2570281080.525856,82.248995,41124497288.413696,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.452864,0.102021,5.100576,2569507164.246253,82.224229,41112114627.940041,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.462432,0.102154,5.108000,2566158967.930718,82.117087,41058543486.891495,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.449440,0.104448,5.098592,2509803788.036814,80.313721,40156860608.589027,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.460992,0.104530,5.128064,2507836878.057793,80.250780,40125390048.924683,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.472800,0.104294,5.109024,2513500319.280031,80.432010,40216005108.480499,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.515872,0.104253,5.116736,2514487744.919980,80.463608,40231803918.719673,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.474688,0.104387,5.103264,2511281130.883371,80.360996,40180498094.133934,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.491328,0.107459,5.115392,2439489194.283180,78.063654,39031827108.530884,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.467872,0.107551,5.110016,2437398886.239642,77.996764,38998382179.834274,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.462144,0.107602,5.108064,2436239094.897448,77.959651,38979825518.359161,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.452352,0.107561,5.100064,2437166738.347870,77.989336,38994667813.565918,0.000000,-1
