rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
26,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.398234,0.398111,0.398356,84.258166,1.281303
27,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.398746,0.398746,0.398848,84.149969,1.282950
28,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.399053,0.398971,0.399278,84.085194,1.283938
29,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.402821,0.402637,0.402842,83.298591,1.296061
30,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.405791,0.405709,0.405852,82.689009,1.305617
31,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.533176,0.533176,0.533422,62.933090,1.715473
32,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.533340,0.533238,0.533463,62.913755,1.716001
33,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.533832,0.533484,0.533955,62.855830,1.717584
34,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.550523,0.550277,0.550543,60.950115,1.771287
35,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.555479,0.555479,0.555581,60.406296,1.787232
36,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.576942,0.576922,0.577044,58.159099,1.856289
1,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.372756,0.372695,0.372797,112.521299,1.000000
2,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.373125,0.373105,0.373146,112.410125,1.000990
3,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.377078,0.376996,0.377119,111.231806,1.011595
4,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.380682,0.380600,0.381071,110.178604,1.021263
5,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.380908,0.380867,0.381051,110.113451,1.021870
6,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.387953,0.387871,0.388055,108.113811,1.040769
7,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.497603,0.497521,0.497664,84.290238,1.334930
8,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.497869,0.497807,0.498053,84.245166,1.335643
9,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.498504,0.498422,0.498504,84.137874,1.337347
10,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.499446,0.499343,0.499487,83.979168,1.339874
11,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.503644,0.503542,0.503747,83.279114,1.351136
12,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.507863,0.507843,0.508068,82.587305,1.362454
13,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.573501,0.573338,0.573542,73.135025,1.538543
14,fwht,fp32,forward,none,out-of-place,,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.574300,0.574095,0.574403,73.033306,1.540686
