case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fwht15_base_b256,fwht15-batch256,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.703703,363789.844587,1
fwht8_baseline_b65536,fwht8-batch65536,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.165478,396039601.126532,1
fft8_searched_b16384,fft8-batch16384,3,cuButterfly-searched-cuFFTDx,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.084296,194363453.653734,1
ntt16_base_b256,ntt16-batch256,3,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.161308,220441.056692,1
fwht15_base_b256,fwht15-batch256,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.704020,363625.805793,1
ntt16_base_b4,ntt16-batch4,1,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.031580,126661.797626,1
fft14_baseline_b256,fft14-batch256,3,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,cufft,0.124191,2061345.680704,1
fft8_searched_b16384,fft8-batch16384,2,cuButterfly-searched-cuFFTDx,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.084234,194505232.706111,1
ntt16_searched_b4,ntt16-batch4,3,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029440,135869.562202,1
fwht15_baseline_b256,fwht15-batch256,4,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.117432,2179979.114271,1
