case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fwht15_warp_b512,fwht15-batch512,2,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.200448,2554278.524784,1
fwht15_dao_b512,fwht15-batch512,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.207800,2463903.903551,1
fwht15_dao_b16,fwht15-batch16,4,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015483,1033399.479103,1
fwht15_warp_b16,fwht15-batch16,5,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,temporal-tile,0.017592,909487.765179,1
fwht8_dao_b4096,fwht8-batch4096,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.011448,357781748.431074,1
ntt16_gpuntt_b4,ntt16-batch4,1,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.0327168,122261,1
fwht8_warp_b65536,fwht8-batch65536,3,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.164280,398927868.753938,1
ntt20_cub_b2,ntt20-batch2,4,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,compact-stage,0.179323,11153.059005,1
ntt16_cub_b256,ntt16-batch256,2,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.066762,239978.551917,1
ntt20_gpuntt_b4,ntt20-batch4,2,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.399002,10025,1
fwht8_dao_b65536,fwht8-batch65536,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.164628,398084203.652902,1
ntt16_gpuntt_b4,ntt16-batch4,5,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.0326656,122453,1
fwht15_dao_b16,fwht15-batch16,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015462,1034768.230582,1
fwht15_warp_b512,fwht15-batch512,5,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.193249,2649427.652031,1
ntt20_gpuntt_b4,ntt20-batch4,5,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.399094,10022.7,1
fwht15_warp_b4,fwht15-batch4,2,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,temporal-tile,0.018534,215814.922145,1
ntt16_cub_b256,ntt16-batch256,1,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.068636,239557.716566,1
fwht15_dao_b256,fwht15-batch256,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.117658,2175804.969874,1
ntt16_gpuntt_b256,ntt16-batch256,5,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,GPU-NTT-Merge,1.52389,167992,1
ntt20_cub_b2,ntt20-batch2,3,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,2,576460756061519873,60,1000,100,compact-stage,0.180285,11093.546329,1
fwht15_warp_b4,fwht15-batch4,5,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,temporal-tile,0.017838,224239.386531,1
fwht15_warp_b256,fwht15-batch256,4,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.107551,2380272.349843,1
fwht15_warp_b256,fwht15-batch256,5,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.107059,2391200.313614,1
ntt20_gpuntt_b4,ntt20-batch4,4,GPU-NTT-Merge-native,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,GPU-NTT-Merge,0.402104,9947.67,1
ntt20_cub_b4,ntt20-batch4,4,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,compact-stage,0.342221,11688.353432,1
ntt16_gpuntt_b64,ntt16-batch64,5,GPU-NTT-Merge-natural,0,gpuntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,GPU-NTT-Merge,0.386836,165445,1
fwht15_dao_b4,fwht15-batch4,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,4,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015790,253323.608401,1
fwht8_warp_b4096,fwht8-batch4096,4,cuButterfly-warp-register,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,4096,,,1000,100,temporal-tile,0.011325,361663641.001895,1
fwht15_dao_b16,fwht15-batch16,5,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,16,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.015790,1013294.433604,1
ntt16_cub_b64,ntt16-batch64,2,cuNTT-Hybrid2D-radix4,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.277617,230533.432751,1
ntt20_cub_b4,ntt20-batch4,1,cuNTT-compact-stage,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,bit-reversed,20,1048576,4,576460756061519873,60,1000,100,compact-stage,0.341914,11698.848248,1
