rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
15,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.578335,0.578273,0.578458,72.523811,1.780067
16,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.587264,0.586936,0.587346,71.421098,1.807550
17,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.587530,0.587530,0.587653,71.388732,1.808369
18,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.591237,0.591196,0.591258,70.941147,1.819779
19,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.709263,0.709243,0.709386,59.136057,2.183053
20,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.709489,0.709263,0.709591,59.117278,2.183749
21,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.709632,0.709407,0.709632,59.105336,2.184189
22,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.741663,0.741581,0.741765,56.552713,2.282778
23,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.761324,0.761098,0.761344,55.092265,2.343292
24,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,20,1048576,4,1,1048576,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.772424,0.772383,0.772649,54.300562,2.377457
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,8,256,16384,1,256,temporal-tile,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.052982,0.052941,0.053002,316.660244,1.000000
