rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
50,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,128,4,8,16,8,7,1,0,0,named-barrier,1,0.069468,0.069468,0.069468,52.830186,1.290220
51,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,512,4,8,4,32,7,1,0,0,named-barrier,1,0.070103,0.070103,0.070103,52.351737,1.302013
52,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,256,4,4,16,8,7,1,0,0,named-barrier,1,0.070656,0.070656,0.070656,51.942028,1.312284
53,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,256,8,8,32,16,7,1,0,0,named-barrier,1,0.070738,0.070738,0.070738,51.881876,1.313807
54,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,512,4,4,8,16,7,1,0,0,named-barrier,1,0.070779,0.070779,0.070779,51.851854,1.314569
55,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,512,8,8,16,32,7,1,0,0,named-barrier,1,0.071823,0.071823,0.071823,51.097805,1.333959
56,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,512,4,8,8,32,7,1,0,0,named-barrier,1,0.071905,0.071905,0.071905,51.039592,1.335482
57,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,512,8,4,16,16,7,1,0,0,named-barrier,1,0.072008,0.072008,0.072008,50.967009,1.337395
58,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,256,4,8,16,16,7,1,0,0,named-barrier,1,0.072417,0.072417,0.072417,50.678732,1.344991
59,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,512,8,4,32,16,7,1,0,0,named-barrier,1,0.074260,0.074260,0.074260,49.420849,1.379221
