rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
112,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.748134,0.746854,0.748902,44.850806,2.173759
113,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.748339,0.747930,0.748595,44.838535,2.174355
114,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.748646,0.748032,0.753152,44.820135,2.175247
115,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.751002,0.750694,0.751104,44.679575,2.182092
116,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.751002,0.750643,0.751309,44.679575,2.182092
117,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.762368,0.762214,0.762419,44.013430,2.215117
118,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.763290,0.763290,0.763904,43.960291,2.217796
119,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.763443,0.762829,0.763904,43.951447,2.218241
120,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.771533,0.770355,0.771738,43.490608,2.241747
121,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.772864,0.771840,0.773171,43.415701,2.245614
122,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.778240,0.778138,0.778342,43.115788,2.261234
123,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.778240,0.777882,0.778445,43.115788,2.261234
124,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.779930,0.778854,0.784230,43.022387,2.266145
125,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.783616,0.783206,0.785050,42.819993,2.276855
126,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.786586,0.786330,0.786688,42.658333,2.285484
127,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.787814,0.787712,0.787917,42.591799,2.289052
128,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,8,4,0,0,named-barrier,3,0.789658,0.788378,0.792064,42.492382,2.294410
