candidate_id,group,trial,implementation,reference,static_score,mapping_id,processing_unit,prefix_log_n,suffix_log_n,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,device,compute_capability,operator,precision,direction,normalization,placement,backend,fft_core,logN,N,batch,warmup,repeat,kernel_ms,points_s,max_error,correct
fft18-fp32_b2_p8s10_t128x128_e16x16_rec,fft18-fp32-batch2,1,fft18-fp32_b2_p8s10_t128x128_e16x16_rec,0,91438.61722882584,fft18-fp32,cufftdx-online-shared,8,10,128,128,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.040837,12838515463.401049,0.000593,1
fft18-fp32_b16_cufft,fft18-fp32-batch16,2,cuFFT,1,0.0,fft18-fp32,vendor-baseline,0,0,0,0,0,0,none,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,cufft,scalar,18,262144,16,100,50,0.226304,18533937089.280807,0.000601,1
fft18-fp32_b64_p8s10_t256x256_e16x16_rec,fft18-fp32-batch64,3,fft18-fp32_b64_p8s10_t256x256_e16x16_rec,0,2386543.3993224264,fft18-fp32,cufftdx-online-shared,8,10,256,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,1.154806,14528171142.239569,0.000674,1
fft20-fp32_b8_p10s10_t512x256_e16x16_rec,fft20-fp32-batch8,1,fft20-fp32_b8_p10s10_t512x256_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,512,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.588022,14265812319.958870,0.001451,1
fft18-fp32_b2_p8s10_t128x256_e16x16_rec,fft18-fp32-batch2,3,fft18-fp32_b2_p8s10_t128x256_e16x16_rec,0,91438.61722882584,fft18-fp32,cufftdx-online-shared,8,10,128,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.030761,17043941049.404028,0.000593,1
fft20-fp32_b16_p10s10_t256x512_e16x16_rec,fft20-fp32-batch16,2,fft20-fp32_b16_p10s10_t256x512_e16x16_rec,0,2386543.3993224264,fft20-fp32,cufftdx-online-shared,10,10,256,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,0.909189,18452943185.558510,0.001451,1
fft20-fp32_b2_p10s10_t512x256_e16x16_rec,fft20-fp32-batch2,3,fft20-fp32_b2_p10s10_t512x256_e16x16_rec,0,298317.9249153033,fft20-fp32,cufftdx-online-shared,10,10,512,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.159498,13148433114.474878,0.001320,1
fft18-fp32_b2_cufft,fft18-fp32-batch2,1,cuFFT,1,0.0,fft18-fp32,vendor-baseline,0,0,0,0,0,0,none,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,cufft,scalar,18,262144,2,100,50,0.028078,18672502339.786697,0.000583,1
fft18-fp32_b16_p8s10_t128x128_e16x16_tbl,fft18-fp32-batch16,2,fft18-fp32_b16_p8s10_t128x128_e16x16_tbl,0,608812.0916638843,fft18-fp32,cufftdx-online-shared,8,10,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.285184,14707361069.997692,0.000610,1
fft18-fp32_b64_p9s9_t256x256_e8x8_rec,fft18-fp32-batch64,2,fft18-fp32_b64_p9s9_t256x256_e8x8_rec,0,4773086.798644853,fft18-fp32,cufftdx-online-shared,9,9,256,256,8,8,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,0.839352,19988286938.205067,0.000666,1
fft20-fp32_b8_p10s10_t128x128_e16x16_rec,fft20-fp32-batch8,2,fft20-fp32_b8_p10s10_t128x128_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,128,128,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.465777,18009937808.085678,0.001451,1
fft20-fp32_b16_p10s10_t128x256_e16x16_rec,fft20-fp32-batch16,2,fft20-fp32_b16_p10s10_t128x256_e16x16_rec,0,2386543.3993224264,fft20-fp32,cufftdx-online-shared,10,10,128,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.037906,16164486097.688349,0.001451,1
fft20-fp32_b16_p10s10_t512x512_e8x8_rec,fft20-fp32-batch16,2,fft20-fp32_b16_p10s10_t512x512_e8x8_rec,0,4773086.798644853,fft20-fp32,cufftdx-online-shared,10,10,512,512,8,8,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,0.929526,18049221667.009899,0.001466,1
fft18-fp32_b16_p9s9_t256x256_e8x8_rec,fft18-fp32-batch16,1,fft18-fp32_b16_p9s9_t256x256_e8x8_rec,0,1193271.6996612132,fft18-fp32,cufftdx-online-shared,9,9,256,256,8,8,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.205517,20408569976.742023,0.000629,1
fft20-fp32_b16_p10s10_t128x128_e16x16_tbl,fft20-fp32-batch16,2,fft20-fp32_b16_p10s10_t128x128_e16x16_tbl,0,2435248.3666555374,fft20-fp32,cufftdx-online-shared,10,10,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.289175,13013915109.858582,0.001468,1
fft20-fp32_b16_p10s10_t512x256_e16x16_rec,fft20-fp32-batch16,3,fft20-fp32_b16_p10s10_t512x256_e16x16_rec,0,2386543.3993224264,fft20-fp32,cufftdx-online-shared,10,10,512,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.200517,13974990373.560921,0.001451,1
fft18-fp32_b16_p9s9_t128x128_e16x16_tbl,fft18-fp32-batch16,1,fft18-fp32_b16_p9s9_t128x128_e16x16_tbl,0,608812.0916638843,fft18-fp32,cufftdx-online-shared,9,9,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.269414,15568225293.002127,0.000755,1
fft20-fp32_b8_p10s10_t128x128_e16x16_tbl,fft20-fp32-batch8,2,fft20-fp32_b8_p10s10_t128x128_e16x16_tbl,0,1217624.1833277687,fft20-fp32,cufftdx-online-shared,10,10,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.660705,12696444846.776869,0.001343,1
fft20-fp32_b8_p10s10_t128x256_e16x16_tbl,fft20-fp32-batch8,1,fft20-fp32_b8_p10s10_t128x256_e16x16_tbl,0,1217624.1833277687,fft20-fp32,cufftdx-online-shared,10,10,128,256,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.705884,11883830934.105539,0.001343,1
fft20-fp32_b8_p10s10_t512x512_e8x8_rec,fft20-fp32-batch8,2,fft20-fp32_b8_p10s10_t512x512_e8x8_rec,0,2386543.3993224264,fft20-fp32,cufftdx-online-shared,10,10,512,512,8,8,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.461824,18164079827.267540,0.001485,1
fft20-fp32_b16_p10s10_t128x512_e16x16_rec,fft20-fp32-batch16,3,fft20-fp32_b16_p10s10_t128x512_e16x16_rec,0,2386543.3993224264,fft20-fp32,cufftdx-online-shared,10,10,128,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,0.963625,17410524630.422176,0.001451,1
fft18-fp32_b16_p9s9_t128x128_e16x16_tbl,fft18-fp32-batch16,2,fft18-fp32_b16_p9s9_t128x128_e16x16_tbl,0,608812.0916638843,fft18-fp32,cufftdx-online-shared,9,9,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.269476,15564675050.403395,0.000755,1
fft20-fp32_b2_p10s10_t128x256_e16x16_rec,fft20-fp32-batch2,3,fft20-fp32_b2_p10s10_t128x256_e16x16_rec,0,298317.9249153033,fft20-fp32,cufftdx-online-shared,10,10,128,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.134902,15545771743.628263,0.001320,1
fft18-fp32_b2_p8s10_t512x512_e16x16_rec,fft18-fp32-batch2,1,fft18-fp32_b2_p8s10_t512x512_e16x16_rec,0,81804.82522882584,fft18-fp32,cufftdx-online-shared,8,10,512,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.041554,12617052128.820662,0.000593,1
fft18-fp32_b64_p8s10_t128x128_e16x16_tbl,fft18-fp32-batch64,2,fft18-fp32_b64_p8s10_t128x128_e16x16_tbl,0,2435248.3666555374,fft18-fp32,cufftdx-online-shared,8,10,128,128,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,64,100,50,0.993096,16893856320.232758,0.000610,1
fft20-fp32_b2_p10s10_t512x128_e16x16_rec,fft20-fp32-batch2,1,fft20-fp32_b2_p10s10_t512x128_e16x16_rec,0,298317.9249153033,fft20-fp32,cufftdx-online-shared,10,10,512,128,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.164024,12785617091.944981,0.001320,1
fft20-fp32_b8_cufft,fft20-fp32-batch8,3,cuFFT,1,0.0,fft20-fp32,vendor-baseline,0,0,0,0,0,0,none,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,cufft,scalar,20,1048576,8,100,50,0.381481,21989586611.413288,0.002079,1
fft18-fp32_b2_p10s8_t512x512_e16x16_tbl,fft18-fp32-batch2,2,fft18-fp32_b2_p10s8_t512x512_e16x16_tbl,0,83474.31145798555,fft18-fp32,cufftdx-online-shared,10,8,512,512,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.045322,11568006432.574720,0.000512,1
fft20-fp32_b2_p10s10_t128x256_e16x16_rec,fft20-fp32-batch2,2,fft20-fp32_b2_p10s10_t128x256_e16x16_rec,0,298317.9249153033,fft20-fp32,cufftdx-online-shared,10,10,128,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.136315,15384614952.565590,0.001320,1
