holdout_dimension,holdout_value,operator,precision,accumulation,logN,batch,measured_winner,predicted_winner,top1_correct,topk_contains_winner,regret
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,20,2,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,20,2,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,15,7,hier-r4-t256,online-r2-t256,0,1,1.0503559581050357
numeric-contract,fp16:fp32,fft,fp16,fp32,15,5,online-r2-t256,online-r2-t256,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,8,1281,temporal-r2-t128,temporal-r2-t128,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,8,1280,temporal-r4-t128,temporal-r2-t128,0,1,1.0146480886030724
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,8,1,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,20,1,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,15,7,online-r4-t256,online-r2-t256,0,1,1.1246003414558434
numeric-contract,fp16:fp32,fwht,fp16,fp32,15,9,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,8,1279,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,15,4,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,fft,fp16,fp32,8,799,temporal-r4-t128,temporal-r2-t128,0,1,1.0990173847316704
numeric-contract,fp16:fp32,fft,fp16,fp32,15,8,online-r4-t256,online-r2-t256,0,1,1.2253521126760563
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,15,8,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,8,1280,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,8,1279,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,15,8,hier-r4-t256,online-r4-t256,0,1,1.0885903827928634
numeric-contract,fp16:fp32,fwht,fp16,fp32,8,961,temporal-r2-t128,temporal-r2-t128,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,15,9,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:fp32,structured-2x2,fp16,fp32,15,1,online-r4-t256,online-r2-t256,0,1,1.1500980695777847
numeric-contract,fp16:fp32,fwht,fp16,fp32,8,1,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:fp32,fwht,fp16,fp32,8,959,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:native,fft,fp16,native,15,8,hier-r4-t256,online-r2-t256,0,1,1.405410755526229
numeric-contract,fp16:native,fft,fp16,native,15,1,online-r4-t256,online-r2-t256,0,1,1.116380916884085
numeric-contract,fp16:native,fft,fp16,native,8,1281,temporal-r4-t128,temporal-r2-t128,0,1,1.2527763088313062
numeric-contract,fp16:native,fft,fp16,native,8,1279,temporal-r4-t128,temporal-r2-t128,0,1,1.3000505135544707
numeric-contract,fp16:native,structured-2x2,fp16,native,15,9,hier-r4-t256,online-r2-t256,0,1,1.4244730679156907
numeric-contract,fp16:native,structured-2x2,fp16,native,8,1281,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp16:native,fft,fp16,native,15,6,online-r4-t256,online-r2-t256,0,1,1.1273573923166473
numeric-contract,fp16:native,fwht,fp16,native,20,2,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,fp16:native,structured-2x2,fp16,native,20,1,hier-r4-t256,online-r4-t256,0,1,1.3989198441742416
numeric-contract,fp16:native,fft,fp16,native,15,5,online-r4-t256,online-r2-t256,0,1,1.1967886329103528
numeric-contract,fp16:native,fwht,fp16,native,15,6,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp16:native,fft,fp16,native,8,799,temporal-r4-t128,temporal-r2-t128,0,1,1.126799052650756
