suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply,library,library_version,plan_ms,max_abs_error,relative_l2_error
fft14_vkfft_b16,fft14-batch16,quick,fft-library,VkFFT,0,1,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,14,16384,16,1,16384,1000,100,,0.010670080,,1499520.174678847,171.976969794,24568138541.938224792,,-1,,,,,,,,,,,,,vkfft,10304,400.132034000,0.000000000,0.000000000
fwht8_shared_b1,fwht8-batch1,quick,butterfly,cuButterfly-shared-radix4,0,2,1,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1,1,256,1000,100,0.012288,0.002550,0.020224,392193.768391,0.401606,100401604.708041,0.000000,-1,,,,,,,,,,,,,,,,,
ntt16_r4_b1,ntt16-batch1,quick,ntt,cuNTT-Hybrid2D-radix4,0,1,1,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,hybrid2d,radix4,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,1,1,65536,1000,100,0.124512,0.015493,0.140064,,,,,-1,natural,64,1152921504606584833,60,8,4,256,0,64544.778307,3570.547118,4230006591.141377,shoup,,,,,
ntt12_r4_b1,ntt12-batch1,quick,ntt,cuNTT-Hybrid2D-radix4,0,3,1,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,hybrid2d,radix4,,fused,,,0,named-barrier,,,,,,,,,,,,12,4096,1,1,4096,1000,100,0.010240,0.005990,0.021696,,,,,-1,natural,32,1073692673,30,6,4,256,0,166933.774244,26366.858830,683760739.303273,shoup,,,,,
xor8_r2_b16384,xor8-batch16384,quick,butterfly,cuButterfly-radix2,0,3,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.767808,0.049654,2.615296,329964958.744988,337.884118,84471029438.716934,0.000000,-1,,,,,,,,,,,,,,,,,
ntt12_r2_b16,ntt12-batch16,quick,ntt,cuNTT-Hybrid2D-radix2,1,2,16,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,12,4096,16,1,4096,1000,100,0.077088,0.008458,0.077280,,,,,-1,natural,32,1073692673,30,6,4,256,0,1891646.498566,98264.261196,7748184058.128383,shoup,,,,,
fft8_cub_b64,fft8-batch64,quick,butterfly,cuButterfly-cuFFTDx,0,3,64,1,0.000008,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,temporal-tile,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,64,1,256,1000,100,0.038688,0.003123,0.045888,20491803.063089,20.983606,5245901584.150699,0.000000,-1,,,,,,,,,,,,,,,,,
fft8_cufft_b1,fft8-batch1,quick,fft-library,cuFFT,1,3,1,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,1,1,256,1000,100,,0.002682880,,372733.806415253,0.381679418,95419854.442304835,,-1,,,,,,,,,,,,,cufft,10900,2.161826000,0.000000000,0.000000000
fft8_cufft_b64,fft8-batch64,quick,fft-library,cuFFT,1,1,64,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,64,1,256,1000,100,,0.002785280,,22977940.235667791,23.529410801,5882352700.330954552,,-1,,,,,,,,,,,,,cufft,10900,2.028573000,0.000000000,0.000000000
fft20_cufft_b1,fft20-batch1,quick,fft-library,cuFFT,1,1,1,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,20,1048576,1,1,1048576,1000,100,,0.063549444,,15735.778880309,165.001600752,16500160075.199115753,,-1,,,,,,,,,,,,,cufft,10900,1.847060000,0.000000000,0.000000000
