trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,8x8,table,direct-strided,global-scratch,2,128x512,8x8,shared,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.924448,0.423916,10.124480,150973.482176,79.153585,9894198127.881384,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,8x8,table,direct-strided,global-scratch,2,128x512,8x8,shared,cufftdx-block,0,named-barrier,32,128,512,8,8,4,16,8,1,0,0,16,65536,64,1,65536,100,50,10.904832,0.423649,10.123840,151068.354959,79.203326,9900415710.590363,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x4,table,direct-strided,global-scratch,2,256x128,4x4,shared,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.911264,0.403231,10.124608,158718.075011,83.213982,10401747763.930065,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x4,table,direct-strided,global-scratch,2,256x128,4x4,shared,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.920224,0.403784,10.119296,158500.710472,83.100020,10387502561.518524,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x4,table,direct-strided,global-scratch,2,256x128,4x4,shared,cufftdx-block,0,named-barrier,32,256,128,4,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.931168,0.493015,10.165696,129813.488966,68.059655,8507456812.904243,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.929568,0.437883,10.502528,146157.806850,76.628784,9578598029.711607,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.938848,0.384041,10.129120,166648.894374,87.372016,10921501941.703562,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,11.337312,0.383775,10.127872,166764.498546,87.432625,10929078176.711452,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x256,4x4,table,direct-strided,global-scratch,2,256x256,4x4,shared,cufftdx-block,0,named-barrier,32,256,256,4,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,12.403520,0.468439,10.184000,136623.975066,71.630311,8953788829.915884,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x256,4x4,table,direct-strided,global-scratch,2,256x256,4x4,shared,cufftdx-block,0,named-barrier,32,256,256,4,4,4,4,8,1,0,0,16,65536,64,1,65536,100,50,11.398464,0.403804,10.910208,158492.662269,83.095801,10386975114.457150,0.000000,-1
