trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.764000,0.053309,2.601856,307337683.751051,314.713788,78678447040.269058,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.772576,0.053371,2.628192,306983872.844967,314.351486,78587871448.311554,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,2.767968,0.053330,2.597792,307219649.045708,314.592921,78648230155.701294,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.778752,0.053985,2.608192,303490120.949264,310.773884,77693470963.011581,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.779744,0.053965,2.612128,303605306.720541,310.891834,77722958520.458481,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,2.765728,0.054026,2.598720,303260032.322847,310.538273,77634568274.648911,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.479008,0.139735,5.118304,117250473.771789,120.064485,30016121285.577972,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.478016,0.139203,5.123104,117698993.256171,120.523769,30130942273.579666,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.466080,0.139182,5.120800,117716307.211153,120.541499,30135374646.055164,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix2,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.486016,0.139551,5.111712,117405333.036913,120.223061,30055765257.449821,0.000000,-1
