word_bits,batch,variant,kernel_ms,trials,throughput_vs_v06
64,4,natural-fw32-wt4-r10-12-2,1.410432,1,0.43397767492512934
64,4,natural-fw32-wt4-r11-9-2,1.248256,1,0.4903609515996718
64,4,natural-fw32-wt4-r9-11-2,1.363584,1,0.44888763728527176
64,4,natural-fw8-wt1-r10-10-1,2.734464,1,0.22384496559471984
64,4,natural-fw8-wt1-r10-10-2,1.77984,1,0.34390507011866234
64,4,natural-fw8-wt1-r10-12-2,1.858176,1,0.3294069022525315
64,4,natural-fw8-wt1-r11-9-2,1.58336,1,0.3865804365400161
64,4,natural-fw8-wt1-r9-11-2,1.75552,1,0.34866934013853446
64,4,natural-fw8-wt2-r10-10-1,2.730624,1,0.22415975249613274
64,4,natural-fw8-wt2-r10-10-2,1.78432,1,0.3430416068866571
64,4,natural-fw8-wt2-r10-12-2,1.863424,1,0.32847918670146997
64,4,natural-fw8-wt2-r11-9-2,1.594112,1,0.38397302071623574
64,4,natural-fw8-wt2-r9-11-2,1.766016,1,0.3465970863231137
64,4,natural-fw8-wt4-r10-10-1,2.701696,1,0.2265599090349173
64,4,natural-fw8-wt4-r10-10-2,1.718272,1,0.3562276519666269
64,4,natural-fw8-wt4-r10-12-2,1.827584,1,0.3349208572629219
64,4,natural-fw8-wt4-r11-9-2,1.563136,1,0.39158205044218797
64,4,natural-fw8-wt4-r9-11-2,1.763328,1,0.3471254355400697
64,4,static-fw16,1.023104,1,0.5982734893031402
64,4,static-fw32,1.0208,1,0.5996238244514107
64,4,static-fw8,1.02208,1,0.598872886662492
64,4,v06,0.612096,1,1.0
