trial,physical_core,weights,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
2,split-tail,7-7-6,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-split-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-split-tail+appt-online-split-tail+appt-online-split-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,0.791456,0.299418,0.299810,0.000393,0.744896,3339.817197,544.730678,3502052157.454119,fused,shoup,natural,-1
2,register-tail,8-7-5,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","8+7+5","ring+ring","2+2",8,0,3,20,0.790016,0.222157,0.222568,0.000411,0.745056,4501.325032,569.077865,4719981397.271162,fused,shoup,natural,-1
3,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,0.783168,0.147866,0.148292,0.000427,0.747328,6762.897818,595.819157,7091412342.670173,fused,shoup,natural,-1
3,warp,6-6-8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-warp-radix2","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online+appt-online+appt-online","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","6+6+8","ring+ring","2+2",8,0,3,20,0.785120,0.295014,0.295413,0.000399,0.734592,3389.664918,551.047242,3554321281.105109,fused,shoup,natural,-1
3,cta-radix4,7-6-7,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-radix4","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-radix4+appt-online-radix4+appt-online-radix4","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","7+6+7","ring+ring","2+2",8,0,3,20,0.789568,0.306125,0.306542,0.000417,0.741408,3266.641511,544.335944,3425321888.536469,fused,shoup,natural,-1
3,fused-tail,9-6-5,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-fused-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-fused-tail+appt-online-fused-tail+appt-online-fused-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","9+6+5","ring+ring","2+2",8,0,3,20,0.774784,0.287334,0.287739,0.000405,0.734720,3480.265714,556.533074,3649323101.372402,fused,shoup,natural,-1
3,split-tail,7-7-6,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-split-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-split-tail+appt-online-split-tail+appt-online-split-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,0.769344,0.301005,0.301394,0.000389,0.735520,3322.206188,553.750092,3483585675.987780,fused,shoup,natural,-1
3,register-tail,8-7-5,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","8+7+5","ring+ring","2+2",8,0,3,20,0.791456,0.222310,0.222752,0.000441,0.753728,4498.215229,565.772671,4716720531.611037,fused,shoup,natural,-1
1,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,2.808608,0.350771,0.351193,0.000422,2.620928,11403.445119,692.004732,11957378868.870565,fused,shoup,natural,-1
1,warp,7-7-6,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-warp-radix2","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online+appt-online+appt-online","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,2.807296,0.888269,0.888579,0.000310,2.611392,4503.141550,634.220292,4721886153.585963,fused,shoup,natural,-1
