case_id,variant,trial,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,logical_subgraphs,execution_stage_partition,execution_groups,materialized_boundaries,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,execution_group_cores,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
n12_u32,hybrid2d_b512,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.508864,0.085316,0.085333,0.000018,0,0,0,0,0,7,natural,natural,"",1.358368,6001248.179701,173409.562631,24581112544.053970,fused,shoup,-1
n12_u32,hybrid_td6_b512,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.506304,0.097958,0.097979,0.000021,0,0,0,0,0,7,natural,natural,"",1.357472,5226735.865363,172871.711306,21408710104.528366,fused,shoup,-1
n12_u32,hybrid_td12_b512,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.502080,0.098343,0.098362,0.000019,0,0,0,0,0,7,natural,natural,"",1.370848,5206272.601358,172316.840826,21324892575.160526,fused,shoup,-1
n12_u32,hybrid2d_b512,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.471904,0.085176,0.085190,0.000014,0,0,0,0,0,7,natural,natural,"",1.356096,6011059.904009,175753.174740,24621301366.822910,fused,shoup,-1
n12_u32,hybrid_td6_b512,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,6,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.473888,0.100223,0.100243,0.000020,0,0,0,0,0,7,natural,natural,"",1.347936,5108609.078109,175219.629064,20924862783.934818,fused,shoup,-1
n12_u32,hybrid_td12_b512,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid-dataflow,6,named-barrier,6,32,6,1,12,1,2,hermes-xor,inplace,radix4,32,12,4096,512,1073479681,30,0,0,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,1.502080,0.100237,0.100258,0.000020,0,0,0,0,0,7,natural,natural,"",1.353984,5107878.496976,173189.385285,20921870323.613625,fused,shoup,-1
n20_u32_b16,hybrid2d,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,10,2,512,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,10.899104,1.114010,1.114026,0.000016,0,0,0,0,0,7,natural,natural,"",10.133408,14362.533079,722.461093,15060207486.078423,fused,shoup,-1
n20_u32_b16,resident_9_11,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","9+11","dataflow-radix4+dataflow-radix4","full-scratch","1",8,per-packet,interleaved-rows,0,0,30,500,10.888224,1.019273,1.019292,0.000019,0,0,0,0,0,7,natural,natural,"",10.135520,15697.460306,725.853460,16459980138.122681,fused,shoup,-1
n20_u32_b16,packet_7_13,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","7+13","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","full-scratch","1",2,per-packet,interleaved-rows,0,0,30,500,10.884416,1.084250,1.084266,0.000016,0,0,0,0,0,7,natural,natural,"",10.130624,14756.743034,724.005176,15473566583.902168,fused,shoup,-1
n20_u32_b16,lane32,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+1","0+0","0+0","6+6","84+76","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","full-scratch","1",8,per-packet,interleaved-rows,0,0,30,500,10.885408,1.173772,1.173791,0.000019,0,0,0,0,0,7,natural,natural,"",10.130208,13631.263510,721.065379,14293415766.397097,fused,shoup,-1
n20_u32_b16,hybrid2d,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,10,2,512,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,30,500,10.892192,1.052754,1.052791,0.000037,0,0,0,0,0,7,natural,natural,"",18.915297,15198.233524,518.466440,15936502915.289307,fused,shoup,-1
n20_u32_b16,resident_9_11,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","9+11","dataflow-radix4+dataflow-radix4","full-scratch","1",8,per-packet,interleaved-rows,0,0,30,500,10.897888,1.014657,1.014677,0.000020,0,0,0,0,0,7,natural,natural,"",10.135616,15768.875271,725.684089,16534864155.962950,fused,shoup,-1
n20_u32_b16,packet_7_13,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","7+13","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","full-scratch","1",2,per-packet,interleaved-rows,0,0,30,500,10.883776,1.085352,1.085370,0.000018,0,0,0,0,0,7,natural,natural,"",10.130688,14741.761959,723.987949,15457857788.171946,fused,shoup,-1
