case,word_bits,logN,batch,data_time,kernel_ms,regret
w64_n10_b416_td10,64,10,416,10,0.076087,1.023706693575513
w64_n10_b432_td5,64,10,432,5,0.075554,1.0
w64_n10_b432_td9,64,10,432,9,0.08277,1.0955078486910024
w64_n10_b432_td10,64,10,432,10,0.077947,1.031672710908754
w64_n10_b448_td5,64,10,448,5,0.076343,1.0
w64_n10_b448_td9,64,10,448,9,0.083487,1.0935776692034636
w64_n10_b448_td10,64,10,448,10,0.081644,1.069436621563208
w64_n10_b464_td5,64,10,464,5,0.077831,1.0
w64_n10_b464_td9,64,10,464,9,0.084009,1.0793771119476816
w64_n10_b464_td10,64,10,464,10,0.083152,1.0683660752142463
w64_n10_b480_td5,64,10,480,5,0.081244,1.0
w64_n10_b480_td9,64,10,480,9,0.085067,1.0470557825808675
w64_n10_b480_td10,64,10,480,10,0.084139,1.0356334006203536
w64_n10_b496_td5,64,10,496,5,0.081923,1.0
w64_n10_b496_td9,64,10,496,9,0.085555,1.0443343139289334
w64_n10_b496_td10,64,10,496,10,0.085139,1.039256374888615
w64_n10_b512_td5,64,10,512,5,0.082186,1.0
w64_n10_b512_td9,64,10,512,9,0.086893,1.0572725281678146
w64_n10_b512_td10,64,10,512,10,0.085531,1.040700362592169
w64_n10_b528_td5,64,10,528,5,0.083791,1.0
w64_n10_b528_td9,64,10,528,9,0.085873,1.024847537325011
w64_n10_b528_td10,64,10,528,10,0.085654,1.0222338914680573
w64_n10_b544_td5,64,10,544,5,0.084453,1.0
w64_n10_b544_td9,64,10,544,9,0.086118,1.0197151078114455
w64_n10_b544_td10,64,10,544,10,0.085825,1.0162457224728547
w64_n10_b560_td5,64,10,560,5,0.086955,1.0069247426381185
w64_n10_b560_td9,64,10,560,9,0.086671,1.0036360688768715
w64_n10_b560_td10,64,10,560,10,0.086357,1.0
w64_n10_b576_td5,64,10,576,5,0.088945,1.0253498720402092
w64_n10_b576_td9,64,10,576,9,0.088166,1.0163696308763515
w64_n10_b576_td10,64,10,576,10,0.086746,1.0
w64_n10_b592_td5,64,10,592,5,0.090515,1.0386592614692585
w64_n10_b592_td9,64,10,592,9,0.088399,1.0143781699676406
w64_n10_b592_td10,64,10,592,10,0.087146,1.0
w64_n10_b608_td5,64,10,608,5,0.091122,1.0383445195255079
w64_n10_b608_td9,64,10,608,9,0.087757,1.0
w64_n10_b608_td10,64,10,608,10,0.088402,1.0073498410383217
w64_n10_b624_td5,64,10,624,5,0.092495,1.0499103271356898
w64_n10_b624_td9,64,10,624,9,0.089088,1.0112374855274808
w64_n10_b624_td10,64,10,624,10,0.088098,1.0
w64_n10_b640_td5,64,10,640,5,0.094191,1.0619172707696818
w64_n10_b640_td9,64,10,640,9,0.088699,1.0
w64_n10_b640_td10,64,10,640,10,0.08875,1.0005749782973878
w64_n12_b1_td11,64,12,1,11,0.118327,1.047280612470682
w64_n12_b1_td12,64,12,1,12,0.112985,1.0
w64_n12_b1_td16,64,12,1,16,0.113483,1.0044076647342568
w64_n12_b16_td11,64,12,16,11,0.118863,1.046624049027895
w64_n12_b16_td12,64,12,16,12,0.113568,1.0
w64_n12_b16_td16,64,12,16,16,0.114889,1.01163179768949
w64_n12_b32_td11,64,12,32,11,0.119057,1.042156493728171
w64_n12_b32_td12,64,12,32,12,0.114241,1.0
w64_n12_b32_td16,64,12,32,16,0.115074,1.007291602839611
w64_n12_b48_td11,64,12,48,11,0.119156,1.0278271370654706
w64_n12_b48_td12,64,12,48,12,0.11593,1.0
w64_n12_b48_td16,64,12,48,16,0.116111,1.0015612869835246
w64_n12_b64_td11,64,12,64,11,0.119426,1.0243597001355222
w64_n12_b64_td12,64,12,64,12,0.116586,1.0
w64_n12_b64_td16,64,12,64,16,0.117606,1.0087489063867017
w64_n12_b80_td11,64,12,80,11,0.119863,1.0125787757446736
w64_n12_b80_td12,64,12,80,12,0.11849,1.0009799449203374
w64_n12_b80_td16,64,12,80,16,0.118374,1.0
w64_n12_b96_td11,64,12,96,11,0.144903,1.0269961869392037
w64_n12_b96_td12,64,12,96,12,0.141094,1.0
w64_n12_b96_td16,64,12,96,16,0.150016,1.063234439451713
w64_n12_b112_td11,64,12,112,11,0.151726,1.0280793050643033
w64_n12_b112_td12,64,12,112,12,0.147582,1.0
w64_n12_b112_td16,64,12,112,16,0.159153,1.078403870390698
w64_n12_b128_td11,64,12,128,11,0.158317,1.04275975629837
w64_n12_b128_td12,64,12,128,12,0.151825,1.0
w64_n12_b128_td16,64,12,128,16,0.166656,1.09768483451342
w64_n12_b144_td11,64,12,144,11,0.161673,1.0457706165061418
w64_n12_b144_td12,64,12,144,12,0.154597,1.0
w64_n12_b144_td16,64,12,144,16,0.168527,1.090105241369496
w64_n12_b160_td11,64,12,160,11,0.164069,1.0417410076510365
w64_n12_b160_td12,64,12,160,12,0.157495,1.0
w64_n12_b160_td16,64,12,160,16,0.171779,1.0906949426965935
w64_n12_b176_td11,64,12,176,11,0.272616,1.1017503303844585
w64_n12_b176_td12,64,12,176,12,0.248791,1.005463972938785
w64_n12_b176_td16,64,12,176,16,0.247439,1.0
w64_n12_b192_td11,64,12,192,11,0.252341,1.01292137988616
w64_n12_b192_td12,64,12,192,12,0.249122,1.0
w64_n12_b192_td16,64,12,192,16,0.251515,1.009605735342523
w64_n12_b208_td11,64,12,208,11,0.255283,1.0146786438252713
w64_n12_b208_td12,64,12,208,12,0.25159,1.0
w64_n12_b208_td16,64,12,208,16,0.255904,1.0171469454270838
w64_n12_b224_td11,64,12,224,11,0.257789,1.0166544410528224
w64_n12_b224_td12,64,12,224,12,0.253566,1.0
w64_n12_b224_td16,64,12,224,16,0.260386,1.0268963504570803
w64_n12_b240_td11,64,12,240,11,0.260768,1.0193457092710079
w64_n12_b240_td12,64,12,240,12,0.255819,1.0
w64_n12_b240_td16,64,12,240,16,0.264793,1.0350794897955193
w64_n12_b256_td11,64,12,256,11,0.262997,1.0248060444763103
w64_n12_b256_td12,64,12,256,12,0.256631,1.0
w64_n12_b256_td16,64,12,256,16,0.268595,1.046619465302321
w64_n12_b272_td11,64,12,272,11,0.266783,1.0299945176708594
w64_n12_b272_td12,64,12,272,12,0.259014,1.0
w64_n12_b272_td16,64,12,272,16,0.272773,1.053120680735404
w64_n12_b288_td11,64,12,288,11,0.269961,1.0293522151428145
w64_n12_b288_td12,64,12,288,12,0.262263,1.0
w64_n12_b288_td16,64,12,288,16,0.297049,1.132637848266816
w64_n12_b304_td11,64,12,304,11,0.305842,1.1510021902919636
w64_n12_b304_td12,64,12,304,12,0.265718,1.0
w64_n12_b304_td16,64,12,304,16,0.280146,1.0542981657245651
w64_n12_b320_td11,64,12,320,11,0.278252,1.0293353852072713
w64_n12_b320_td12,64,12,320,12,0.270322,1.0
